3,5905,3.5,Daria: Is It Fall Yet? (2000)
3,7734,4.0,"White Stripes Under Great White Northern Lights, The (2009)"
4,1647,5.0,One Magic Christmas (1985)
8,6358,3.5,Annapolis (2006)
10,1156,4.0,Hearts and Minds (1996)
11,4719,5.0,Step Into Liquid (2002)
11,7957,4.0,Life in a Day (2011)
12,2774,4.0,Retroactive (1997)
12,3023,2.0,Rocketship X-M (1950)
12,3062,2.0,Mad About Mambo (2000)
12,3101,5.0,"Art of War, The (2000)"
12,3105,3.0,Love & Sex (2000)
15,189,2.0,Before the Rain (Pred dozhdot) (1994)
15,660,4.5,Walking and Talking (1996)
15,1212,1.5,Kissed (1996)
15,1237,4.0,Schizopolis (1996)
15,1409,1.5,"Cool, Dry Place, A (1998)"
15,1438,5.0,Taste of Cherry (Ta'm e guilass) (1997)
15,2395,4.0,"Ipcress File, The (1965)"
15,2419,4.0,Rosetta (1999)
15,2660,3.0,Deterrence (1999)
15,2661,5.0,Mifune's Last Song (Mifunes sidste sang) (1999)
15,2704,1.0,Shanghai Surprise (1986)
15,3028,3.0,Shower (Xizao) (1999)
15,3039,2.0,Criminal Lovers (1999)
15,3083,3.0,Aimée & Jaguar (1999)
15,3110,1.0,Anatomy (Anatomie) (2000)
15,3164,1.0,Lost Souls (2000)
15,3264,4.0,Amazon Women on the Moon (1987)
15,3267,1.0,Barfly (1987)
15,3316,2.0,Monkeybone (2001)
15,3417,5.0,"King Is Alive, The (2000)"
15,3468,2.0,"Closet, The (Placard, Le) (2001)"
15,3515,2.5,Jump Tomorrow (2001)
15,3661,1.0,Skin Deep (1989)
15,3666,2.0,Three Fugitives (1989)
15,3700,2.0,Osmosis Jones (2001)
15,3709,5.0,Innocence (2000)
15,3878,3.5,Medium Cool (1969)
15,3927,5.0,Maelström (2000)
15,3931,4.0,Waydowntown (2000)
15,4095,1.0,"New Guy, The (2002)"
15,4120,2.0,Silent Running (1972)
15,4124,1.5,Cherish (2002)
15,4147,1.0,Like Mike (2002)
15,4176,4.0,Songs From the Second Floor (Sånger från andra våningen) (2000)
15,4197,2.0,Stakeout (1987)
15,4255,4.0,"Wrong Guy, The (1997)"
15,4409,3.0,Miami Blues (1990)
15,4436,3.0,CB4 - The Movie (1993)
15,4442,3.0,Summer Lovers (1982)
15,4497,1.0,Q & A (1990)
15,4509,3.0,Life Stinks (1991)
15,4646,3.5,Belle époque (1992)
15,4657,2.5,Good Burger (1997)
15,4696,1.0,Northfork (2003)
15,4829,4.0,Three O'Clock High (1987)
15,4857,1.0,Dopamine (2003)
15,4864,1.0,In the Cut (2003)
15,4897,2.5,Damage (Fatale) (1992)
15,4926,2.0,Kafka (1991)
15,4932,3.5,"Lover, The (Amant, L') (1992)"
15,5054,1.0,Melvin Goes to Dinner (2003)
15,5610,2.5,"Five Obstructions, The (Fem benspænd, De) (2003)"
15,5637,2.5,"SpongeBob SquarePants Movie, The (2004)"
15,5866,2.0,Bad Boy Bubby (1993)
15,6399,2.5,Youth of the Beast (Yaju no seishun) (1963)
15,6850,4.0,Helvetica (2007)
15,6956,3.5,Reprise (2006)
15,6992,3.5,Up the Yangtze (2007)
15,7039,2.0,"Onion Movie, The (2008)"
15,7155,0.5,Paul Blart: Mall Cop (2009)
15,7161,1.5,Chocolate (2008)
15,7175,1.5,Mystery Team (2009)
15,7217,1.0,"Girlfriend Experience, The (2009)"
15,7252,0.5,Year One (2009)
15,7303,2.5,G-Force (2009)
15,7470,4.0,Shades of Ray (2008)
15,7513,2.5,Steam of Life (Miesten vuoro) (2010)
15,7612,3.0,GasLand (2010)
15,7653,3.0,Waiting for 'Superman' (2010)
15,7709,1.0,Made in Dagenham (2010)
15,7710,3.5,Waste Land (2010)
15,7724,4.0,Marwencol (2010)
15,7812,3.5,"Tree of Life, The (2011)"
15,7838,2.0,Page One: Inside the New York Times (2011)
15,7863,0.5,"Conspirator, The (2010)"
15,7873,1.5,Bill Cunningham New York (2011)
15,7882,3.0,"Interrupters, The (2011)"
15,7906,2.5,Buck (2011)
15,7923,2.5,Batman: Year One (2011)
15,7931,0.5,Trespass (2011)
15,7953,1.0,Clone (Womb) (2010)
15,7970,3.0,Being Elmo: A Puppeteer's Journey (2011)
15,8066,1.0,Madagascar 3: Europe's Most Wanted (2012)
15,8074,0.5,What to Expect When You're Expecting (2012)
15,8084,0.5,"Giant Mechanical Man, The (2012)"
15,8116,2.0,"Queen of Versailles, The (2012)"
15,8136,2.5,Ai Weiwei: Never Sorry (2012)
15,8161,3.5,"House I Live In, The (2012)"
15,8189,0.5,Indie Game: The Movie (2012)
15,8239,2.5,"Central Park Five, The (2012)"
15,8250,4.0,Beware of Mr. Baker (2012)
15,8258,2.0,Beauty Is Embarrassing (2012)
15,8260,0.5,Movie 43 (2013)
15,8269,2.5,Call Me Kuchu (2012)
15,8275,3.0,"World Before Her, The (2012)"
15,8281,1.0,TPB AFK: The Pirate Bay Away from Keyboard (2013)
15,8285,3.0,G.I. Joe: Retaliation (2013)
15,8383,3.5,We're the Millers (2013)
15,8388,3.0,Blackfish (2013)
15,8403,3.0,Koch (2012)
15,8442,1.0,Marc Maron: Thinky Pain (2013)
15,8492,4.5,I Know That Voice (2013)
15,8510,0.5,"I, Frankenstein (2014)"
15,8541,2.5,Particle Fever (2013)
15,8570,2.0,"Other Woman, The (2014)"
15,8578,2.5,"Fragile Trust: Plagiarism, Power, and Jayson Blair at the New York Times, A (2013)"
15,8634,1.0,Sex Tape (2014)
15,8642,1.5,A Most Wanted Man (2014)
15,8650,0.5,Jupiter Ascending (2015)
15,8679,4.0,"Look of Silence, The (2014)"
15,8699,3.5,"Rewrite, The (2014)"
15,8778,3.0,Red Army (2014)
15,8845,1.5,Run All Night (2015)
15,8852,2.0,While We're Young (2014)
15,8856,2.0,Midnight Special (2015)
15,8859,2.0,Furious 7 (2015)
15,8879,3.0,The Age of Adaline (2015)
15,8889,3.0,Far from the Madding Crowd (2015)
15,8920,1.0,The Secret Life of Pets (2016)
15,8925,3.0,Independence Day: Resurgence (2016)
15,8926,3.0,Star Trek 3 (2016)
15,8936,1.5,Steve Jobs (2015)
15,8964,3.5,Best of Enemies (2015)
15,8965,2.0,Anomalisa (2015)
15,9011,3.0,Pawn Sacrifice (2015)
15,9029,1.0,Concussion (2015)
15,9030,3.0,"Peanuts Movie, The (2015)"
15,9052,3.0,Daddy's Home (2015)
15,9068,0.5,Miles Ahead (2016)
15,9070,1.5,London Has Fallen (2016)
15,9079,1.0,Keanu (2016)
15,9082,0.5,The Huntsman Winter's War (2016)
15,9083,3.5,Neighbors 2: Sorority Rising (2016)
15,9085,1.5,Money Monster (2016)
15,9088,1.5,Mother's Day (2016)
15,9089,3.5,The Nice Guys (2016)
15,9091,3.5,The Shallows (2016)
15,9094,1.0,Now You See Me 2 (2016)
15,9096,2.0,Teenage Mutant Ninja Turtles: Out of the Shadows (2016)
15,9097,1.0,Popstar: Never Stop Never Stopping (2016)
15,9098,4.0,The Conjuring 2 (2016)
15,9099,0.5,Approaching the Unknown (2016)
15,9100,1.0,Ghostbusters (2016)
15,9101,2.5,Central Intelligence (2016)
15,9104,1.0,The Legend of Tarzan (2016)
15,9105,2.0,The Purge: Election Year (2016)
15,9106,4.0,Mike & Dave Need Wedding Dates (2016)
15,9112,0.5,Sunspring (2016)
17,1249,2.5,Tetsuo II: Body Hammer (1992)
17,3485,5.0,Faust (1926)
17,3649,4.5,Cure (1997)
17,3706,4.5,Session 9 (2001)
17,3921,5.0,Seconds (1966)
17,3969,4.5,Scratch (2001)
17,4484,4.0,Tenebre (1982)
17,4789,4.0,Demonlover (2002)
17,4902,5.0,Europa (Zentropa) (1991)
17,4926,4.0,Kafka (1991)
17,4972,4.5,"Macbeth (a.k.a. Tragedy of Macbeth, The) (1971)"
17,5005,4.5,Deep Red (Profondo rosso) (1975)
17,5208,5.0,"Wages of Fear, The (Salaire de la peur, Le) (1953)"
17,5507,3.0,Slaughterhouse-Five (1972)
17,5963,4.5,"Return, The (Vozvrashcheniye) (2003)"
17,6155,2.0,High Tension (Haute tension) (Switchblade Romance) (2003)
19,256,3.0,New Jersey Drive (1995)
19,320,3.0,Cobb (1994)
19,596,3.0,Boys (1996)
19,785,4.0,A Walk in the Sun (1945)
19,1082,3.0,Body Parts (1991)
19,1123,1.0,Marked for Death (1990)
20,4508,4.5,Lady Jane (1986)
20,5474,1.5,"Farmer's Daughter, The (1947)"
20,6014,5.0,Sergeant York (1941)
20,6097,4.0,We're No Angels (1955)
20,6652,5.0,Amazing Grace (2006)
